position,strand,count_1,count_2,ratio,mt_freq_t1,mt_freq_t2,pop_freq_t1,pop_freq_t2,gene,D,W,nW
1457,+/+,98.69439026173482,137.1699908130801,1.389845871171695,5.8670773019026474e-05,8.154333163894564e-05,0.999941329226981,0.9999184566683611,,207,1.0617353278907753,0.9955412435028144
2771,-/-,255.08703944571462,204.2640080586084,0.800762000697719,0.00015164138257225306,0.00012142865689712557,0.9998483586174277,0.9998785713431029,NDEONHPJ_00003,207,0.9583288618660041,0.8985816726302488
2942,-/-,81.9922626789797,187.86324828747925,2.291231418054787,4.874187296965276e-05,0.0001116789107229038,0.9999512581270303,0.999888321089277,NDEONHPJ_00003,207,1.1554858170872282,1.0834468411992257
3169,+/+,25.812378991530647,58.148148279457864,2.2527233269950426,1.5344663712668464e-05,3.45672818904226e-05,0.9999846553362873,0.9999654327181096,NDEONHPJ_00003,207,1.1522979242083577,1.0804576980884948
3280,+/+,19.738878052346966,8.20037988556457,0.4154430593176262,1.1734154603805296e-05,4.87487308711088e-06,0.9999882658453962,0.9999951251269129,NDEONHPJ_00003,207,0.8352781237975904,0.783202555469357
6391,-/-,107.80464167051035,206.500475300126,1.9155063464824225,6.408653668232123e-05,0.0001227581677390649,0.9999359134633177,0.9998772418322609,NDEONHPJ_00005,207,1.1218980136239902,1.051953075523417
6450,-/-,78.95551220938786,72.31244080906939,0.9158631080411304,4.6936618415221185e-05,4.298751722270503e-05,0.9999530633815847,0.9999570124827772,NDEONHPJ_00005,207,0.9835183030567884,0.9222006734748682
7160,-/-,121.47001878367364,140.89743621560945,1.1599359053902358,7.221018217726336e-05,8.375918304217786e-05,0.9999277898178227,0.9999162408169578,NDEONHPJ_00006,207,1.0278238224504086,0.9637439571092056
7675,-/-,37.95938086989801,38.01994310579937,1.0015954484639495,2.25656819303948e-05,2.2601684312968625e-05,0.9999774343180696,0.999977398315687,NDEONHPJ_00007,207,1.000298949403467,0.9379351273372455
7767,+/+,34.92263040030617,93.18613506323375,2.6683595707159786,2.0760427375963213e-05,5.5396285080805455e-05,0.999979239572624,0.9999446037149192,NDEONHPJ_00007,207,1.1840533770711237,1.11023335139919
8587,-/-,226.23790998459214,247.50237472794885,1.0939916070865618,0.000134491464305153,0.0001471325331746193,0.9998655085356949,0.9998528674668253,NDEONHPJ_00007,207,1.0168480453484527,0.9534524668503311
9232,+/+,133.617020662041,169.2260212748325,1.2665004835189204,7.94312003949897e-05,0.00010059965370674271,0.999920568799605,0.9998994003462932,NDEONHPJ_00007,207,1.0443075455055362,0.9791999994172806
9318,-/-,113.87814260969402,208.7369425416436,1.8329851344438295,6.769704579118439e-05,0.0001240876785810042,0.9999323029542088,0.999875912321419,NDEONHPJ_00007,207,1.1136397187305742,1.0442096455447452
9846,+/+,145.76402254040835,213.20987702467883,1.4627057713474758,8.665221861271602e-05,0.00012674670026488287,0.9999133477813873,0.9998732532997351,NDEONHPJ_00008,207,1.0713202705679796,1.0045286111650769
9863,+/+,18.220502817551044,86.47673333868093,4.746122223113488,1.0831527326589503e-05,5.140775255498747e-05,0.9999891684726734,0.999948592247445,NDEONHPJ_00008,207,1.2920424644094803,1.2114898392162943
9886,-/-,168.53965106234716,228.11965863479622,1.3535073627891212,0.0001001916277709529,0.00013561010587781174,0.999899808372229,0.9998643898941222,NDEONHPJ_00008,207,1.05676967325586,0.9908851735198463
